Country,Year,Date,Holiday_Name,Local_Name,Type,Description,Holiday_Season,Holiday_Month
US,2028,2028-11-27,Cyber Monday,,Observance,Most online retailers in the US offer discounted prices on their products and services on Cyber Monday.,Autumn,11
US,2028,2028-11-28,Giving Tuesday,,Worldwide Observance,Unknown,Autumn,11
US,2028,2028-11-28,Giving Tuesday,,Observance,The first Tuesday after Thanksgiving has been dubbed “Giving Tuesday” by charities.,Autumn,11
US,2028,2028-11-29,International Day of Solidarity with the Palestinian People,,United Nations Observance,The United Nations’ (UN) International Day of Solidarity with the Palestinian People is annually observed on November 29.,Autumn,11
US,2028,2028-11-29,Nellie Tayloe Ross's Birthday,,Local Observance,Nellie Tayloe Ross's Birthday is a state observance in the USA,Autumn,11
US,2028,2028-11-30,Day of Remembrance for all Victims of Chemical Warfare,,United Nations Observance,The UN’s Day of Remembrance for all Victims of Chemical Warfare is annually observed on April 29.,Autumn,11
US,2028,2028-12-01,World AIDS Day,,United Nations Observance,The United Nations' (UN) World AIDS Day is annually observed on December 1.,Winter,12
US,2028,2028-12-01,Rosa Parks Day,,Local Observance,The life of American civil rights leader Rosa Parks is celebrated in the United States on either February 4 or December 1.,Winter,12
US,2028,2028-12-02,International Day for the Abolition of Slavery,,United Nations Observance,The United Nations’ (UN) International Day for the Abolition of Slavery is annually observed on December 2.,Winter,12
US,2028,2028-12-03,First Sunday of Advent,,Christian,"Many Christians in the United States observe the first Sunday of Advent, which marks the start of the Christian year.",Winter,12
US,2028,2028-12-03,International Day of Persons with Disabilities,,United Nations Observance,The United Nations' (UN) International Day of Persons with Disabilities is annually observed on December 3 to re-affirm and draw attention to the rights of people who live with disabilities.,Winter,12
US,2028,2028-12-04,International Day of Banks,,United Nations Observance,International Day of Banks is a United Nations observance in the USA,Winter,12
US,2028,2028-12-05,International Volunteer Day for Economic and Social Development,,United Nations Observance,"The United Nations’ (UN) International Volunteer Day for Economic and Social Development, also known as International Volunteer Day (IVD), is observed on December 5 each year.",Winter,12
US,2028,2028-12-05,World Soil Day,,United Nations Observance,World Soil Day raises awareness of why soil is needed for sustainable living.,Winter,12
US,2028,2028-12-06,St Nicholas Day,,Observance,Some churches in the United States recognize St Nicholas' Day as a feast day.,Winter,12
US,2028,2028-12-07,International Civil Aviation Day,,United Nations Observance,International Civil Aviation Day is observed globally on December 7 each year. It is observed by organizations such as the International Civil Aviation Organization (ICAO).,Winter,12
US,2028,2028-12-07,Pearl Harbor Remembrance Day,,Local Observance,"National Pearl Harbor Remembrance Day remembers those who died or were injured when Pearl Harbor, in Hawaii, was attacked in 1941.",Winter,12
US,2028,2028-12-07,Pearl Harbor Remembrance Day,,Observance,"National Pearl Harbor Remembrance Day remembers those who died or were injured when Pearl Harbor, in Hawaii, was attacked in 1941.",Winter,12
US,2028,2028-12-07,Delaware Day,,Local Observance,Delaware Day is a state observance in the USA,Winter,12
US,2028,2028-12-08,Feast of the Immaculate Conception,,Christian,The Feast of the Immaculate Conception is a Christian observance on December 8 each year.,Winter,12
US,2028,2028-12-09,International Anti-Corruption Day,,United Nations Observance,The United Nations’ (UN) International Anti-Corruption Day is annually observed on December 9 to raise public awareness of corruption and ways to fight it.,Winter,12
US,2028,2028-12-09,World Genocide Commemoration Day,,United Nations Observance,World Genocide Commemoration Day is a UN holiday dedicated to the victims of genocide.,Winter,12
US,2028,2028-12-10,Human Rights Day,,United Nations Observance,Human Rights Day marks the anniversary of when the Universal Declaration of Human Rights was proclaimed.,Winter,12
US,2028,2028-12-10,Wyoming Day,,Local Observance,Wyoming Day is a state observance in the USA,Winter,12
US,2028,2028-12-11,International Mountain Day,,United Nations Observance,"The United Nations' (UN) International Mountain Day is an occasion to help raise awareness of the people who live in mountainous regions and the role that these regions play in providing food, water, and recreation. It is observed on December 11 each year.",Winter,12
US,2028,2028-12-11,Green Monday,,Worldwide Observance,The last Monday at least ten days before Christmas has been dubbed “Green Monday” by online marketers.,Winter,12
US,2028,2028-12-12,International Day of Neutrality,,United Nations Observance,International Day of Neutrality is a United Nations observance in the USA,Winter,12
US,2028,2028-12-12,International Universal Health Coverage Day,,United Nations Observance,International Universal Health Coverage Day is a United Nations observance in the USA,Winter,12
US,2028,2028-12-12,Feast of Our Lady of Guadalupe,,Christian,"The Feast of Our Lady Guadalupe, in honor of Jesus’ mother Mary, is a Catholic observance in the United States.",Winter,12
US,2028,2028-12-13,Chanukah/Hanukkah (first day),,Hebrew,"The first day of Hanukkah is the start of the Hanukkah period, which lasts for eight days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Winter,12
US,2028,2028-12-13,National Guard Birthday,,Observance,National Guard Birthday is a observance in the USA,Winter,12
US,2028,2028-12-14,Isra and Mi'raj,,Muslim,"Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.",Winter,12
US,2028,2028-12-15,Bill of Rights Day,,Observance,Bill of Rights Day is a observance in the USA,Winter,12
US,2028,2028-12-17,Pan American Aviation Day,,Observance,"December 17 marks Pan American Aviation Day, which is annually observed in the United States.",Winter,12
US,2028,2028-12-17,Wright Brothers Day,,Observance,The Wright Brothers Day is annually celebrated in the United States on December 17 to commemorate the historic flight made by Orville and Wilbur Wright on that date in 1903.,Winter,12
US,2028,2028-12-18,International Migrants Day,,United Nations Observance,The United Nations (UN) International Migrants Day is celebrated on December 18 each year.,Winter,12
US,2028,2028-12-18,Arabic Language Day,,United Nations Observance,World Arabic Language Day is a United Nations (UN) observance that celebrates one of the organization’s 6 official languages – Arabic.,Winter,12
US,2028,2028-12-20,Last Day of Chanukah,,Hebrew,"The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.",Winter,12
US,2028,2028-12-20,International Human Solidarity Day,,United Nations Observance,The United Nations' (UN) International Human Solidarity Day is celebrated on December 20 each year to raise public awareness on the importance of solidarity in fighting poverty.,Winter,12
US,2028,2028-12-21T03:19:38-05:00,December Solstice,,Season,December Solstice in the USA (New York),Winter,12
US,2028,2028-12-23,Super Saturday,,Worldwide Observance,"The final Saturday before Christmas has become a very popular shopping day in the US, earning the nickname Super Saturday.",Winter,12
US,2028,2028-12-24,Christmas Eve,,"Observance, Christian",Christmas Eve in the United States is on December 24 each year.,Winter,12
US,2028,2028-12-24,Christmas Eve,,Local Holiday,Christmas Eve in the United States is on December 24 each year.,Winter,12
US,2028,2028-12-25,Christmas Day,,"Local Holiday, Christian",Christmas Day celebrates Jesus Christ's birth.,Winter,12
US,2028,2028-12-25,Christmas Day,,"National Holiday, Christian",Christmas Day celebrates Jesus Christ's birth.,Winter,12
US,2028,2028-12-25,Christmas Eve observed,,Local Holiday,Christmas Eve in the United States is on December 24 each year.,Winter,12
US,2028,2028-12-26,Kwanzaa (first day),,Observance,"Kwanzaa is a week-long holiday honoring the culture and traditions of African people and their descendants worldwide, especially in the United States.",Winter,12
US,2028,2028-12-26,Day After Christmas Day,,Local Holiday,Some states in the United States observe the Day after Christmas Day as a public holiday.,Winter,12
US,2028,2028-12-27,International Day of Epidemic Preparedness,,United Nations Observance,International Day of Epidemic Preparedness is a United Nations observance in the USA,Winter,12
US,2028,2028-12-28,Asarah B'Tevet,,Hebrew,Asarah B'Tevet is a Jewish holiday in the USA,Winter,12
US,2028,2028-12-31,New Year's Eve,,Observance,New Year's Eve is the last day of the year in the Gregorian calendar. Many parties to welcome the New Year are held in in the United States on New Year's Eve.,Winter,12
US,2028,2028-12-31,New Year's Eve,,Local Holiday,New Year's Eve is the last day of the year in the Gregorian calendar. Many parties to welcome the New Year are held in in the United States on New Year's Eve.,Winter,12
US,2029,2029-01-01,New Year's Day,,Local Holiday,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Winter,1
US,2029,2029-01-01,New Year's Day,,National Holiday,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Winter,1
US,2029,2029-01-01,New Year's Eve observed,,Local Holiday,New Year's Eve is the last day of the year in the Gregorian calendar. Many parties to welcome the New Year are held in in the United States on New Year's Eve.,Winter,1
US,2029,2029-01-04,World Braille Day,,United Nations Observance,"World Braille Day celebrates the life and achievements of Louis Braille, who invented the braille code for the visually impaired.",Winter,1
US,2029,2029-01-06,Epiphany,,Christian,"Many people in the United States annually observe Epiphany, or Three Kings’ Day, on January 6. It is a Christian observance and a public holiday in the US Virgin Islands.",Winter,1
US,2029,2029-01-07,Orthodox Christmas Day,,Orthodox,Many Orthodox Christian churches in countries such as the United States observe Christmas Day on or near January 7 in the Gregorian calendar.,Winter,1
US,2029,2029-01-07,International Programmers' Day,,Worldwide Observance,"Many people celebrate International Programmers’ Day on January 7, while others observe this event on the 256th day of the year, usually on September 13 or on September 12 in leap years.",Winter,1
US,2029,2029-01-07,Estelle Reel Day,,Local Observance,Estelle Reel Day is a state observance in the USA,Winter,1
US,2029,2029-01-08,Battle of New Orleans,,Local Observance,Battle of New Orleans is a state legal holiday in the USA,Winter,1
US,2029,2029-01-13,Stephen Foster Memorial Day,,Observance,"Stephen Foster Memorial Day is annually observed in the United States on January 13. The day remembers the achievements of Stephen Foster, who is known as the “father of American music”.",Winter,1
US,2029,2029-01-14,Orthodox New Year,,Orthodox,Many Orthodox Christian churches in countries such as the United States celebrate New Year’s Day on January 14 in the Gregorian calendar.,Winter,1
US,2029,2029-01-15,Martin Luther King Jr. Day,,Local Holiday,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Winter,1
US,2029,2029-01-15,Martin Luther King Jr. Day,,National Holiday,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Winter,1
US,2029,2029-01-15,Robert E. Lee's Birthday,,Local Holiday,Robert E. Lee’s birthday is an annual official state holiday that is shared with Martin Luther King’s birthday in some parts of the US.,Winter,1
US,2029,2029-01-15,Idaho Human Rights Day,,Local Holiday,"Idaho Human Rights Day is a state holiday in Idaho, the United States, on the third Monday of January.",Winter,1
US,2029,2029-01-15,Civil Rights Day,,Local Holiday,Civil Rights Day is on the third Monday of January in Arizona and New Hampshire. It honors civil rights activists such as Martin Luther King Jr.,Winter,1
US,2029,2029-01-16,Ramadan Starts,,Muslim,"Many Muslims in the United States fast in the hours of daylight during Ramadan, the ninth month in the Islamic calendar.",Winter,1
US,2029,2029-01-19,Robert E. Lee's Birthday,,Local Observance,Robert E. Lee’s birthday is an annual official state holiday that is shared with Martin Luther King’s birthday in some parts of the US.,Winter,1
US,2029,2029-01-19,Confederate Heroes' Day,,Local Holiday,On Confederate Memorial Day remembers the soldiers who died fighting for the Confederate States of America during the American Civil War (1861-1865). It is a state holiday in some parts of the United States.,Winter,1
US,2029,2029-01-20,Inauguration Day,,Local Holiday,"On Inauguration Day, the president and vice-president of the United States of America are sworn in and take office.",Winter,1
US,2029,2029-01-20,Inauguration Day,,National Holiday,"On Inauguration Day, the president and vice-president of the United States of America are sworn in and take office.",Winter,1
US,2029,2029-01-21,World Religion Day,,Worldwide Observance,World Religion Day fosters interfaith dialogue and understanding of all religions.,Winter,1
US,2029,2029-01-24,International Day of Education,,United Nations Observance,International Day of Education is a United Nations observance in the USA,Winter,1
US,2029,2029-01-26,International Customs Day,,Worldwide Observance,International Customs Day celebrates custom personnel and agencies worldwide.,Winter,1
US,2029,2029-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,,United Nations Observance,The United Nations' (UN) International Day of Commemoration in Memory of the Victims of the Holocaust remembers those who died and suffered during the Holocaust before and during World War II. It is on January 27 each year.,Winter,1
US,2029,2029-01-28,World Leprosy Day,,Worldwide Observance,"World Leprosy Day brings awareness of leprosy, also known as Hansen's disease, and ways to prevent the disease.",Winter,1
US,2029,2029-01-29,Kansas Day,,Local Observance,Kansas Day is an annual observance that commemorates the state's admission to the Union in 1861.,Winter,1
US,2029,2029-01-31,Tu Bishvat/Tu B'Shevat,,Hebrew,"Tu B’Shevat, known as the “New Year for Trees”, is a Jewish festival similar to Arbor Day.",Winter,1
US,2029,2029-02-01,National Freedom Day,,Observance,National Freedom Day in the United States is observed on February 1 each year.,Winter,2
US,2029,2029-02-01,First Day of Black History Month,,Observance,First Day of Black History Month is a annual monthly observance in the USA,Winter,2
US,2029,2029-02-02,World Wetlands Day,,Worldwide Observance,World Wetlands Day raises awareness about the important role that the wetlands play in the environment and in our lives.,Winter,2
US,2029,2029-02-02,Groundhog Day,,Observance,Many people in the United States observe Groundhog Day on February 2.,Winter,2
US,2029,2029-02-02,Lunar New Year,,Local Observance,Lunar New Year marks the first day of the New Year in the Chinese calendar.,Winter,2
US,2029,2029-02-02,National Wear Red Day,,Observance,National Wear Red Day® raises public awareness of heart disease in women and ways to avoid and combat this problem.,Winter,2
US,2029,2029-02-04,International Day of Human Fraternity,,United Nations Observance,International Day of Human Fraternity is a United Nations observance in the USA,Winter,2
US,2029,2029-02-04,World Cancer Day,,Worldwide Observance,World Cancer Day is an annual global event on February 4 to raise people’s awareness of cancer.,Winter,2
US,2029,2029-02-04,Rosa Parks Day,,Local Observance,The life of American civil rights leader Rosa Parks is celebrated in the United States on either February 4 or December 1.,Winter,2
US,2029,2029-02-06,International Day of Zero Tolerance for Female Genital Mutilation,,United Nations Observance,The International Day of Zero Tolerance for Female Genital Mutilation is an awareness campaign to end a harmful practice that violates girls’ and women’s rights.,Winter,2
US,2029,2029-02-06,Ronald Reagan Day,,Local Observance,Ronald Reagan Day is a state observance in the USA,Winter,2
US,2029,2029-02-07,National Girls and Women in Sports Day,,Observance,National Girls and Women in Sports Day is a observance in the USA,Winter,2
US,2029,2029-02-10,Lailat al-Qadr,,Muslim,Laylat al Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.,Winter,2
US,2029,2029-02-10,World Pulses Day,,United Nations Observance,World Pulses Day is a United Nations observance in the USA,Winter,2
US,2029,2029-02-11,Maha Shivaratri,,Hinduism,"Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.",Winter,2
US,2029,2029-02-11,International Day of Women and Girls in Science,,United Nations Observance,The International Day of Women and Girls in Science is a UN holiday to recognize the critical role women and girls play in science and technology communities.,Winter,2
US,2029,2029-02-11,World Day of the Sick,,Worldwide Observance,World Day of the Sick is a global event when people remember or pray for the sick.,Winter,2
US,2029,2029-02-11,Super Bowl,,Sporting Event,The Super Bowl is the championship game of the National Football League (NFL) in the United States. It is played every year in February.,Winter,2
US,2029,2029-02-12,Lincoln's Birthday,,Local Holiday,"Lincoln’s Birthday is observed in the United States in honor of Abraham Lincoln, who was the nation’s 16th president and was known as the Great Emancipator.",Winter,2
US,2029,2029-02-12,Lincoln's Birthday,,Local Observance,"Lincoln’s Birthday is observed in the United States in honor of Abraham Lincoln, who was the nation’s 16th president and was known as the Great Emancipator.",Winter,2
US,2029,2029-02-12,Georgia Day,,Local Observance,Georgia Day is a state observance in the USA,Winter,2
US,2029,2029-02-13,World Radio Day,,United Nations Observance,World Radio Day is an annual United Nations (UN) event that promotes the importance of the radio in communicating information worldwide.,Winter,2
US,2029,2029-02-13,Shrove Tuesday/Mardi Gras,,"Observance, Christian","Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.",Winter,2
US,2029,2029-02-13,Shrove Tuesday/Mardi Gras,,Local Holiday,"Shrove Tuesday is traditionally known as the day prior to Lent but it also serves as a day of celebration, known as Mardi Gras.",Winter,2
US,2029,2029-02-13,Lunar New Year,,Observance,Lunar New Year marks the first day of the New Year in the Chinese calendar.,Winter,2
US,2029,2029-02-13,Lunar New Year,,Local Observance,Lunar New Year marks the first day of the New Year in the Chinese calendar.,Winter,2
US,2029,2029-02-14,Ash Wednesday,,Christian,"Ash Wednesday is a Christian observance that marks the first day of Lent, which is prior to Easter.",Winter,2
US,2029,2029-02-14,Valentine's Day,,Observance,Valentine's Day is an occasion to celebrate romantic love.,Winter,2
US,2029,2029-02-14,Statehood Day,,Local Observance,Statehood Day is a local observance in the USA,Winter,2
US,2029,2029-02-15,Eid al-Fitr,,Muslim,"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight.",Winter,2
US,2029,2029-02-15,Susan B. Anthony's Birthday,,Local Observance,Susan B Anthony Day is an national American observance that is legally recognized in some states.,Winter,2
US,2029,2029-02-15,Susan B. Anthony Day,,Local Observance,Susan B Anthony Day is an national American observance that is legally recognized in some states.,Winter,2
US,2029,2029-02-16,Elizabeth Peratrovich Day,,Local Observance,Elizabeth Peratrovich was one of the main driving forces behind the territory's Anti-Discrimination Act of 1945.,Winter,2
US,2029,2029-02-19,Presidents' Day,,National Holiday,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Winter,2
US,2029,2029-02-19,Presidents' Day,,Local Holiday,Presidents' Day is a state holiday in the USA,Winter,2
US,2029,2029-02-19,Presidents‘ Day,,Local Holiday,Presidents‘ Day is a state legal holiday in the USA,Winter,2
US,2029,2029-02-19,Washington‘s Day,,Local Holiday,Washington‘s Day is a state legal holiday in the USA,Winter,2
US,2029,2029-02-19,Daisy Gatson Bates Day,,Local Holiday,"Daisy Gatson Bates Day is a state holiday in Arkansas, the United States, on the third Monday of February. It coincides with Washington’s Birthday.",Winter,2
US,2029,2029-02-20,World Day of Social Justice,,United Nations Observance,"The United Nations' (UN) World Day of Social Justice promotes poverty eradication, full employment and social integration. It is on February 20 each year.",Winter,2
US,2029,2029-02-21,International Mother Language Day,,United Nations Observance,The United Nations' (UN) International Mother Language Day is annually held on February 21 to celebrate languages spoken worldwide. It also observes the human right to use these languages.,Winter,2
US,2029,2029-02-25,African-American Scientist and Inventor Day,,Local Observance,African-American Scientist and Inventor Day is a state observance in the USA,Winter,2
US,2029,2029-02-25,George Rogers Clark Day,,Local Observance,George Rogers Clark Day is a state observance in the USA,Winter,2
US,2029,2029-02-28,Holi,,Hinduism,"Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.",Winter,2
US,2029,2029-02-28,Linus Pauling Day,,Local Observance,"Linus Pauling Day is a state holiday on February 28 in Oregon, USA.",Winter,2
US,2029,2029-03-01,Purim,,Hebrew,"Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.",Spring,3
US,2029,2029-03-01,Zero Discrimination Day,,United Nations Observance,"Discrimination Day highlights the negative impacts of discrimination and promotes tolerance, compassion and peace.",Spring,3
US,2029,2029-03-01,Self-Injury Awareness Day,,Worldwide Observance,Unknown,Spring,3
US,2029,2029-03-01,St. David's Day,,"Observance, Christian","Many Welsh communities in the United States celebrate the life of their patron saint, St David, and their links with Wales on St David’s Day.",Spring,3
US,2029,2029-03-01,First Day of Women's History Month,,Observance,First Day of Women's History Month is a annual monthly observance in the USA,Spring,3
US,2029,2029-03-01,First Day of Irish American Heritage Month,,Observance,First Day of Irish American Heritage Month is a annual monthly observance in the USA,Spring,3
US,2029,2029-03-02,Texas Independence Day,,Local Holiday,"Texas Independence Day is a legal holiday in Texas, in the United States.",Spring,3
US,2029,2029-03-02,Read Across America Day,,Observance,Read Across America Day is observed in the United States on March 2 each year.,Spring,3
US,2029,2029-03-02,Employee Appreciation Day,,Observance,"Employee Appreciation Day is a US unofficial observance that recognizes and appreciates employees in all industries, aimed at helping employers keep their staff.",Spring,3
US,2029,2029-03-03,World Wildlife Day,,United Nations Observance,"World Wildlife Day celebrates all flora and fauna, including animals, on Earth.",Spring,3
US,2029,2029-03-04,Casimir Pulaski Day,,Local Observance,"Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.",Spring,3
US,2029,2029-03-05,Casimir Pulaski Day,,Local Observance,"Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.",Spring,3
US,2029,2029-03-06,Town Meeting Day,,Local Holiday,"The state of Vermont, in the USA, holds its Town Meeting Day on the first Tuesday of March each year.",Spring,3
US,2029,2029-03-08,International Women's Day,,United Nations Observance,International Women’s Day celebrates women’s achievements worldwide and throughout history.,Spring,3
US,2029,2029-03-08,World Kidney Day,,Worldwide Observance,World Kidney Day is an annual observation that attempts to raise global awareness about the importance of kidney health and tries to bring attention to the unique challenges faced by those who suffer from Chronic Kidney Disease.,Spring,3
US,2029,2029-03-10,International Day of Women Judges,,United Nations Observance,International Day of Women Judges is a United Nations observance in the USA,Spring,3
US,2029,2029-03-11T02:00:00-05:00,Daylight Saving Time starts,,Clock Change/Daylight Saving Time,Daylight Saving Time starts in the USA,Spring,3
US,2029,2029-03-15,Long Covid Awareness Day,,Worldwide Observance,Long Covid Awareness Day is a worldwide observance in the USA,Spring,3
US,2029,2029-03-16,Evacuation Day observed,,Local Holiday,"Evacuation Day in Suffolk County, Massachusetts, commemorates the first major American military victory in the Revolutionary War, which saw the British troops evacuate Boston.",Spring,3
US,2029,2029-03-17,St. Patrick's Day,,"Observance, Christian","St Patrick's Day marks the life and deeds of St Patrick, one of Ireland's patron saints. It is an Irish-American celebration in the USA.",Spring,3
US,2029,2029-03-17,Evacuation Day,,Local Holiday,"Evacuation Day in Suffolk County, Massachusetts, commemorates the first major American military victory in the Revolutionary War, which saw the British troops evacuate Boston.",Spring,3
US,2029,2029-03-20,French Language Day,,United Nations Observance,French Language Day is a United Nations observance in the USA,Spring,3
US,2029,2029-03-20,International Day of Happiness,,United Nations Observance,International Day of Happiness aims to promote the idea that the pursuit of happiness is universal.,Spring,3
US,2029,2029-03-20T04:02:02-04:00,March Equinox,,Season,March Equinox in the USA (New York),Spring,3
US,2029,2029-03-21,International Day for the Elimination of Racial Discrimination,,United Nations Observance,The United Nations’ (UN) International Day for the Elimination of Racial Discrimination is annually observed on March 21.,Spring,3
US,2029,2029-03-21,World Poetry Day,,United Nations Observance,World Poetry Day celebrates poetry around the world on March 21 each year.,Spring,3
US,2029,2029-03-21,International Day of Nowruz,,United Nations Observance,"The UN’s International Day of Nowruz, also known as Nowruz, No-Ruz, No-Rooz or No Ruz, is observed on March 21 each year.",Spring,3
US,2029,2029-03-21,World Down Syndrome Day,,United Nations Observance,World Down Syndrome Day is held on March 21 every year.,Spring,3
US,2029,2029-03-21,International Day of Forests,,United Nations Observance,"International Day of Forests raises awareness on forests and trees, including their role in climate change.",Spring,3
US,2029,2029-03-22,World Water Day,,United Nations Observance,World Water Day aims to increase people's awareness of the water's importance in all aspects of life.,Spring,3
US,2029,2029-03-23,World Meteorological Day,,United Nations Observance,"World Meteorological Day marks the anniversary of the World Meteorological Organization's establishment on March 23, 1950.",Spring,3
US,2029,2029-03-24,World Tuberculosis Day,,United Nations Observance,World Tuberculosis Day is annually held on March 24 to raise awareness of tuberculosis and ways to eradicate the disease.,Spring,3
US,2029,2029-03-24,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,,United Nations Observance,March 24 is the UN’s International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,Spring,3
US,2029,2029-03-25,Palm Sunday,,Christian,Palm Sunday in the United States celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.,Spring,3
US,2029,2029-03-25,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,,United Nations Observance,"The International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade remembers the lives of Africans who were forced into slavery in North, Central and South America.",Spring,3
US,2029,2029-03-25,International Day of Solidarity with Detained and Missing Staff Members,,United Nations Observance,The UN’s International Day of Solidarity with Detained and Missing Staff Members is annually held on March 25.,Spring,3
US,2029,2029-03-25,Maryland Day,,Local Observance,"Maryland Day commemorates the arrival of Lord Baltimore and the first colonists in Maryland, the United States, in the 17th century.",Spring,3
US,2029,2029-03-26,Maryland Day observed,,Local Observance,"Maryland Day commemorates the arrival of Lord Baltimore and the first colonists in Maryland, the United States, in the 17th century.",Spring,3
US,2029,2029-03-26,Prince Jonah Kuhio Kalanianaole Day,,Local Holiday,Prince Jonah Kuhio Kalanianaole Day is annually held in Hawaii on March 26 to honor Prince Jonah Kuhio Kalanianaole.,Spring,3
US,2029,2029-03-26,Seward's Day,,Local Holiday,"Seward’s Day is a state holiday in Alaska, in the United States, on the last Monday of March.",Spring,3
US,2029,2029-03-29,Maundy Thursday,,Christian,"Maundy Thursday, which is also known as Holy Thursday, is the day before Good Friday.",Spring,3
US,2029,2029-03-29,National Vietnam War Veterans Day,,Observance,National Vietnam War Veterans Day is an US observance to honor US military members who served during the Vietnam War.,Spring,3
US,2029,2029-03-30,Passover Eve,,Hebrew,Passover Eve is a Jewish holiday in the USA,Spring,3
US,2029,2029-03-30,Good Friday,,"Local Holiday, Christian",Good Friday commemorates Jesus Christ's crucifixion.,Spring,3
US,2029,2029-03-30,Wyoming Veterans Welcome Home Day,,Local Observance,Wyoming Veterans Welcome Home Day is a state observance in the USA,Spring,3
US,2029,2029-03-30,State Holiday,,Local Holiday,State Holiday is a state holiday in the USA,Spring,3
US,2029,2029-03-30,Doctors' Day,,Observance,Doctors' Day is a observance in the USA,Spring,3
US,2029,2029-03-30,Vietnam Veterans Day,,Local Observance,Vietnam Veterans Day is a state observance in the USA,Spring,3
US,2029,2029-03-30,Vietnam Veteran Recognition Day,,Local Observance,Vietnam Veteran Recognition Day is a state observance in the USA,Spring,3
US,2029,2029-03-31,Holy Saturday,,Christian,Holy Saturday is the day before Easter Sunday in the United States.,Spring,3
US,2029,2029-03-31,Passover (first day),,Hebrew,Passover marks the Israelites' liberation from slavery and their exodus from Egypt around 3000 years ago.,Spring,3
US,2029,2029-03-31,Earth Hour,,Worldwide Observance,Earth Hour is an annual event in which many people worldwide turn their lights off on the last Saturday in March.,Spring,3
US,2029,2029-03-31,International Transgender Day of Visibility,,Worldwide Observance,International Transgender Day of Visibility is a worldwide observance in the USA,Spring,3
US,2029,2029-03-31,César Chávez Day,,Local Holiday,César Chávez Day celebrates the birthday of César Estrada Chávez.,Spring,3
US,2029,2029-03-31,César Chávez Day,,Local Observance,César Chávez Day celebrates the birthday of César Estrada Chávez.,Spring,3
US,2029,2029-04-01,April Fool's Day,,Worldwide Observance,"April Fool's Day, on April 1, is a day to play practical jokes and tricks.",Spring,4
US,2029,2029-04-01,Easter Sunday,,"Observance, Christian","Easter Sunday is an important day in the Christian church calendar because it celebrates Jesus Christ's resurrection, according to Christian belief.",Spring,4
US,2029,2029-04-02,World Autism Awareness Day,,United Nations Observance,"World Autism Awareness Day raises an awareness of issues surrounding people, particularly children, with autism worldwide.",Spring,4
US,2029,2029-04-02,Easter Monday,,"Observance, Christian",Easter Monday is the day after Easter Sunday. It is not a federal holiday in the United States of America (USA).,Spring,4
US,2029,2029-04-02,Pascua Florida Day,,Local Observance,"Pascua Florida Day, which usually falls on April 2, is a state day in Florida, USA.",Spring,4
US,2029,2029-04-04,United Nations' Mine Awareness Day,,United Nations Observance,The United Nations' International Day for Mine Awareness and Assistance in Mine Action is annually observed on April 4.,Spring,4
US,2029,2029-04-05,International Day of Conscience,,United Nations Observance,International Day of Conscience is a United Nations observance in the USA,Spring,4
US,2029,2029-04-06,Orthodox Good Friday,,Orthodox,Many Orthodox Christians in the United States remember the events leading up to Jesus Christ's crucifixion on Great Friday.,Spring,4
US,2029,2029-04-06,International Day of Sport for Development and Peace,,United Nations Observance,The International Day of Sport for Development and Peace aims to bring goodwill and positive social outcomes through sporting achievements.,Spring,4
US,2029,2029-04-06,National Tartan Day,,Observance,National Tartan Day is annually observed on April 6 to honor the major role that Scottish Americans played in the founding of the United States of America.,Spring,4
US,2029,2029-04-07,Last Day of Passover,,Hebrew,"The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.",Spring,4
